stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
3522,3522,"NB Copperpond BV @ Copperpond CV SE",,  50.922710,-113.920512,,,0
3523,3523,"SB Copperpond BV @ CopperpondCV SE",,  50.922638,-113.920575,,,0
3524,3524,"NB McIvor BV @ Copperfield BV SE",,  50.919577,-113.931959,,,0
3525,3525,"WB Quarry Park BV @ Quarry DR SE",,  50.959516,-114.011188,,,0
3526,3526,"WB Quarry Park BV @ Quarry LK SE",,  50.959531,-114.013682,,,0
3527,3527,"EB Quarry Park BV @ 18 ST SE",,  50.963186,-114.012661,,,0
3528,3528,"NB West Campus BV @ Pathway NW",,  51.069763,-114.145668,,,0
3529,3529,"SB  West Campus BV @ Pathway NW",,  51.069715,-114.145931,,,0
3530,3530,"NB 18 ST SE @ Quarry Park RD",,  50.962133,-114.010953,,,0
3531,3531,"SB 18 ST SE @ Quarry Park RD",,  50.961728,-114.011106,,,0
3533,3533,"NB Rocky Ridge RD @ Royal Oak DR NW",,  51.139102,-114.233746,,,0
3534,3534,"NB Rocky Ridge RD @ S. of Royal Elm RD NW",,  51.141454,-114.233792,,,0
3535,3535,"EB 112 AV NW @ Rocky Ridge RD",,  51.153902,-114.233047,,,0
3536,3536,"WB Royal Oak DR NW @ Royal Elm DR NW",,  51.138833,-114.231333,,,0
3537,3537,"WB Royal Oak DR NW @ Royal TC NW",,  51.138359,-114.225180,,,0
3538,3538,"SB Royal Oak DR  @ Royal Ridge RI NW",,  51.139330,-114.220935,,,0
3539,3539,"SB Royal Oak DR @ Royal Ridge  HL NW",,  51.140230,-114.219304,,,0
3540,3540,"SB Royal Oak DR @ Royal Crest WY NW",,  51.141506,-114.216585,,,0
3541,3541,"SB Royal Oak DR @ Royal Birch GA NW",,  51.143300,-114.215776,,,0
3542,3542,"SB Royal Oak DR @ 100 Royal Birch ME NW",,  51.145988,-114.215497,,,0
3543,3543,"SB Royal Oak DR @ Royal Birch BV NW",,  51.147602,-114.217465,,,0
3544,3544,"EB 112 AV NW @ Country Hills BV",,  51.149903,-114.212224,,,0
3548,3548,"EB 112 AV NW @ Royal Vista DR",,  51.154054,-114.200364,,,0
3549,3549,"WB 112 AV NW @ Royal Vista LI",,  51.153996,-114.206133,,,0
3550,3550,"WB 112 AV NW @ 85 ST NW",,  51.152148,-114.209790,,,0
3552,3552,"NB 24 ST SE @ Quarry PK BV",,  50.964000,-114.001393,,,0
3553,3553,"SB 24 ST SE @ Quarry PK BV",,  50.962709,-114.002102,,,0
3554,3554,"EB 112 AV NW @ 85 ST NW",,  51.152344,-114.208557,,,0
3555,3555,"EB 112 AV NW @ Royal Vista LI",,  51.153881,-114.204704,,,0
3556,3556,"EB 112 AV NW @ 76 ST NW",,  51.153967,-114.196219,,,0
3557,3557,"EB 112 AV NW @ 110 AV NW",,  51.154064,-114.190405,,,0
3559,3559,"WB Hospital DR @ TRW Building",,  51.065945,-114.137246,,,0
3560,3560,"EB Hospital DR @ TRW Building",,  51.065888,-114.137073,,,0
3561,3561,"WB Old Banff Coach RD @ West Springs GA SW",,  51.065806,-114.189195,,,0
3562,3562,"NB Shepard RD @ N. of Shepard PL SE",,  50.970796,-113.989054,,,0
3563,3563,"SB Shepard RD @ N. of Shepard PL SE",,  50.970588,-113.989297,,,0
3565,3565,"NB 24 ST nearside of 114 AV SE",,  50.952705,-114.001291,,,0
3566,3566,"EB Chaparral Valley SQ @ Chaparral Vallley LI SE",,  50.886722,-114.015112,,,0
3567,3567,"SB Chaparral Valley DR @ Chaparral Valley VW SE",,  50.885649,-114.015610,,,0
3568,3568,"SB Chaparral Valley DR @ Chaparral Valley TC SE",,  50.883571,-114.015536,,,0
3569,3569,"SB Chaparral Valley DR @ Chaparral Valley GD SE",,  50.879795,-114.013597,,,0
3571,3571,"WB Walden DR @ Walden SQ SE",,  50.874699,-114.031557,,,0
3572,3572,"SB Walden GA @ 194 AV SE",,  50.876113,-114.036362,,,0
3573,3573,"EB Walden DR@ Walden SQ SE",,  50.874348,-114.031889,,,0
3575,3575,"NB Chaparral Valley DR @ Chaparral Valley GD SE",,  50.880260,-114.013206,,,0
3576,3576,"NB Chaparral Valley DR @ Chaparral Valley GV SE",,  50.884155,-114.015190,,,0
3577,3577,"SB 6 ST @ Shawville GA SE",,  50.897261,-114.072163,,,0
3578,3578,"SB Cranston GA @ Cranford DR SE",,  50.869962,-113.971342,,,0
3579,3579,"WB Cranford DR @ Cranford PA SE",,  50.870909,-113.967836,,,0
3580,3580,"SB Cranford DR @ Cranford CL SE",,  50.872810,-113.967166,,,0
3581,3581,"SB Cranford DR @ Cranford CR SE",,  50.875801,-113.968638,,,0
3582,3582,"EB Cranford DR @ Cranford ST SE",,  50.877076,-113.970184,,,0
3583,3583,"EB Cranford DR @ Cranarch RD SE",,  50.876890,-113.975614,,,0
3584,3584,"SB Cranarch RD @ Cranston AV SE",,  50.878578,-113.976461,,,0
3585,3585,"SB 52 St @ Auburn Bay AV SE",,  50.890200,-113.943220,,,0
3586,3586,"SB 52 St @ Auburn Meadows DR SE",,  50.893094,-113.943181,,,0
3587,3587,"SB 52 St @ Auburn Meadows AV SE",,  50.897116,-113.943716,,,0
3588,3588,"SB 52 St @ Auburn Bay DR SE",,  50.898970,-113.944429,,,0
3589,3589,"WB Mahogany BV @ Mahogany HT SE",,  50.902545,-113.933563,,,0
3590,3590,"WB Mahogany BV @ Mahogany WY SE",,  50.902570,-113.928824,,,0
3591,3591,"WB Mahogany BV @ Marquis GD SE",,  50.902463,-113.922387,,,0
3592,3592,"WB Mahogany BV @ Marquis GR SE",,  50.903395,-113.914410,,,0
3593,3593,"NB Mahogany BV @ 300 Marquis CO SE",,  50.901265,-113.910407,,,0
3594,3594,"EB Cranford DR @ Cranston GA SE",,  50.870324,-113.970755,,,0
3595,3595,"EB Cranford DR @ Cranford PA SE",,  50.871504,-113.966664,,,0
3596,3596,"NB Cranford DR @ Cranford CL SE",,  50.873463,-113.966912,,,0
3597,3597,"NB Cranford DR @ Cranford CR SE",,  50.876032,-113.968133,,,0
3598,3598,"WB Cranford DR @ Cranford ST SE",,  50.877498,-113.970467,,,0
3599,3599,"NB 52 St @ Mahogany DR SE",,  50.890393,-113.942667,,,0
3600,3600,"NB 52 St @ Mahogany Dr SE",,  50.893260,-113.942666,,,0
3601,3601,"NB 52 St @ Mahogany ST SE",,  50.897512,-113.943461,,,0
3603,3603,"EB Mahogany GA @ Mahogany PZ SE",,  50.899422,-113.941290,,,0
3604,3604,"NB Mahogany BV @ Mahogany GA SE",,  50.899723,-113.936959,,,0
3605,3605,"EB Mahogany BV @ Mahogany HT SE",,  50.902430,-113.932733,,,0
3606,3606,"EB Mahogany BV @ Marine DR SE",,  50.902438,-113.928437,,,0
3607,3607,"EB Mahogany BV @ Marquis GD SE",,  50.902241,-113.922083,,,0
3608,3608,"EB Mahogany BV @ Marquis GR SE",,  50.902756,-113.913559,,,0
3609,3609,"NB Cranarch RD @ Cranford DR SE",,  50.878700,-113.975970,,,0
3610,3610,"SB 52 St @ Mckenzie Towne Li SE",,  50.915030,-113.956345,,,0
3611,3611,"WB 114 AV SE (WBay) @ 29 ST SE",,  50.951569,-113.996145,,,0
3612,3612,"NB 18 St @  Douglas Glen BV SE",,  50.957447,-114.007579,,,0
3613,3613,"NB 11 ST SE @ 21 AV SE",,  51.034821,-114.036630,,,0
3614,3614,"WB Aspen Dr @ Spruce WY NW",,  51.090585,-114.220202,,,0
3615,3615,"EB 9 AVE @ 3 ST SW",,  51.044651,-114.069407,,,0
3616,3616,"NB 1 ST @ 7 AV SW",,  51.046327,-114.065368,,,0
3617,3617,"NB 52 ST SE @ New Brighton DR SE",,  50.926235,-113.957798,,,0
3618,3618,"EB Mckenzie Towne Li @ Promenade Way SE",,  50.912464,-113.958531,,,0
3619,3619,"NB 52 ST @ McIvor BV SE",,  50.913297,-113.952564,,,0
3620,3620,"SB 52 ST @ McIvor BV SE",,  50.912123,-113.951306,,,0
3625,3625,"NB Chaparal DR @ 194 AV SE",,  50.877706,-114.036811,,,0
3626,3626,"WB 69 Street CTrain Station",,  51.037596,-114.188479,,,0
3627,3627,"EB 69 Street CTrain Station",,  51.037507,-114.188475,,,0
3628,3628,"WB Sirocco CTrain Station",,  51.038162,-114.169600,,,0
3629,3629,"EB Sirocco CTrain Station",,  51.038105,-114.169484,,,0
3630,3630,"WB 45 Street CTrain Station",,  51.037942,-114.153369,,,0
3631,3631,"EB 45 Street CTrain Station",,  51.037868,-114.153580,,,0
3632,3632,"WB Westbrook CTrain Station",,  51.040547,-114.136596,,,0
3633,3633,"EB Westbrook CTrain Station",,  51.040433,-114.136348,,,0
3634,3634,"WB Shaganappi Point CTrain Station",,  51.041603,-114.124256,,,0
3635,3635,"EB Shaganappi Point CTrain Station",,  51.041512,-114.124176,,,0
3636,3636,"WB Sunalta CTrain Station",,  51.044675,-114.098157,,,0
3637,3637,"EB Sunalta CTrain Station",,  51.044559,-114.098121,,,0
3638,3638,"WB Downtown - West Kerby CTrain Station",,  51.047230,-114.087697,,,0
3639,3639,"EB Downtown West - Kerby CTrain Station",,  51.047123,-114.087684,,,0
3640,3640,"NB Tuscany CTrain Station",,  51.134510,-114.235512,,,0
3641,3641,"SB Tuscany CTrain Station",,  51.134439,-114.235681,,,0
3642,3642,"SB 52 ST SE @ 90 AV SE",,  50.971989,-113.958537,,,0
3643,3643,"NB 52 ST SE@ Dufferin PL SE",,  50.958049,-113.958149,,,0
3644,3644,"NB 52 ST SE @ Dufferin BV SE",,  50.954384,-113.958151,,,0
3645,3645,"Westbrook LRT Station WB",,  51.040765,-114.136517,,,0
